8302 (20497.87, 112.3203, 19780, 21189)
8362 (20499.13, 103.7781, 20020, 20949)
8422 (20501.66, 104.5489, 20036, 21157)
8482 (20443.83, 113.1087, 20004, 21077)
8543 (20414.44, 109.123, 19924, 20805)
8603 (20424.71, 112.3754, 19652, 21013)
8663 (20425.55, 98.25623, 19908, 20757)
8723 (20432.21, 103.8056, 19876, 21045)
8783 (20433.92, 95.19668, 19876, 20789)
8843 (20435.0, 97.07134, 19956, 20837)
8904 (20440.49, 89.58253, 19972, 20933)
8964 (20440.62, 120.8143, 19908, 21157)
9024 (20436.92, 106.5677, 19988, 21045)
9084 (20449.37, 100.0908, 19940, 20901)
9144 (20438.55, 101.5956, 20004, 21029)
9204 (20441.81, 102.7955, 20036, 20917)
9264 (20453.67, 98.6373, 20052, 21205)
9325 (20453.96, 97.17903, 19972, 20821)
9385 (20456.78, 98.51902, 20020, 20997)
9445 (20445.13, 101.7943, 19972, 20821)
9505 (20456.38, 103.5547, 20036, 21061)
9565 (20457.96, 99.50298, 19732, 20949)
9625 (20448.47, 112.9878, 19716, 21045)
9686 (20449.02, 108.501, 19620, 20917)
9746 (20454.93, 99.48057, 20052, 21061)
9806 (20470.71, 86.8498, 20084, 20933)
9866 (20460.38, 108.4799, 20020, 20885)
9926 (20464.82, 101.2444, 20068, 21173)
9986 (20466.02, 103.9356, 20020, 20933)
10047 (20462.85, 100.5358, 19876, 20821)
10107 (20464.88, 100.989, 19812, 21125)
10167 (20465.3, 104.2943, 19908, 20869)
10227 (20470.3, 106.2244, 20036, 21061)
10287 (20471.47, 98.82777, 20052, 20965)
10347 (20475.5, 94.51687, 19988, 20773)
10407 (20474.41, 95.72376, 20036, 20917)
10468 (20473.5, 104.2391, 20068, 20981)
10528 (20477.29, 90.80155, 20020, 20821)
10588 (20472.89, 100.5024, 19892, 20821)
10648 (20479.59, 94.51295, 19924, 20885)
10708 (20476.89, 107.5962, 19972, 21173)
10768 (20484.65, 100.4251, 19876, 20885)
10829 (20474.58, 114.459, 19588, 21173)
10889 (20469.87, 111.3914, 19988, 20997)
10949 (20484.04, 109.0796, 19588, 20965)
11009 (20481.53, 97.91345, 20020, 20901)
11069 (20488.41, 100.6019, 20052, 20885)
11129 (20484.36, 102.4823, 19892, 20949)
11190 (20490.23, 109.6066, 19540, 20853)
11250 (20494.82, 105.3724, 19828, 20885)
11310 (20492.56, 104.73, 19988, 21061)
11370 (20492.84, 110.1332, 20020, 21141)
11430 (20495.97, 101.9596, 19940, 21109)
